RECORD_ID,REPAIR_NAME,REPAIR_HOURS
02ca7ebb0fbf4126a8ccb07e3a7582f5,清洗氧传感器及线路,1.0
02ca7ebb0fbf4126a8ccb07e3a7582f5,电脑检测,0.0
440e2408660e4995ae47fe3c2fa854c2,购买两桶尿素,0.0
440e2408660e4995ae47fe3c2fa854c2,购买两个灯泡,0.0
e3477d6a4fb24f31baa0235b4c21811b,换气门室盖垫(V列),12.0
e3477d6a4fb24f31baa0235b4c21811b,换三滤机油,5.0
693e84e7998942fa94d84ded08e3c00f,二级维护,30.0
8d79a0e8e6934c7395de56c032c8ca1f,强制保养,1.0
815deeb503214307b65da976ded75083,二级维护作业内容,2.0
6f27859e09724422a3b8eadbd57bec57,无,0.0
3015308793cf426992ba26c4cc3e589b,更换机油机滤,3.5
1a9a39742247472ca3a0fac4c2b34372,更换机油机滤,2.0
1a9a39742247472ca3a0fac4c2b34372,打黄油,2.0
6e2efcf08dac4ef9bea73d5b030d9f14,打黄油,1.0
6e2efcf08dac4ef9bea73d5b030d9f14,换机油机滤柴滤,6.0
3031b82e912f4977942ea47123322e97,二级维护,4.0
3031b82e912f4977942ea47123322e97,全车打黄油,1.0
3031b82e912f4977942ea47123322e97,调前速、校横拉杆,1.0
3031b82e912f4977942ea47123322e97,修电路,1.0
3031b82e912f4977942ea47123322e97,换球头2个,1.0
2bd319d3f617480aa09270a802fcd045,二级维护4,4.0
fd73d1ae32b94601aba756a793cbe8eb,拆装水箱更换发电机皮带及水泵皮带,1.0
e3e20ca437024980a78c631005b35bf4,拆装变速箱,1.0
97eb94291399462280810ba91c2166bd,XM更换机油机滤,80.0
97eb94291399462280810ba91c2166bd,XM全车检测,60.0
a7e441729f9b424c957ce73ad1684837,拆变速箱,1.0
a7e441729f9b424c957ce73ad1684837,电焊,1.0
a7e441729f9b424c957ce73ad1684837,修理费,1.0
04049b5b5b744489825b8e455529f9d0,发动机保养,1.5
7d7cda6384d64c14b6d10f61c330a63e,换机油机滤细柴,3.0
eb79568d81d3448b9614179e433cd3a8,！二级维护上线,1.0
6096438746fe471ebcc0e7369543ad8e,更换机油、机滤,1.0
19e8937bcaa44c4ea53e4dbc2114322b,有人伤,1.0
09d331cb01034568bd4021e30a21f1ea,换机油机滤柴滤,6.0
f817f0593a6c4da8a82361eb1fb99d59,校车门立柱,4.0
947125f21e2743c1ae3ba53ae953d04e,拆装修扫盘马达,1.0
8e4fc931f95e494eaf45d93e6e997fda,修复传动系,5.0
043c6fb73dc04ff39f16b3e16561abcd,刷写程序,1.4
9837b7c3adda43faab88e30c61773875,修复发动机,2.0
bf18e026893848948a3a2ea86e8d93e1,小修,1.0
